Layer,Depth_cm,Fraction,Components,Classified,%_Aliphatics_F,%_Furans_C,%_Oaromatics_L,%_Ncomp_P,%_AromCarbonyl_O
L1,0–1 cm,TD,437,178,24.2,10.1,3.9,36.5,25.3
L1,0–1 cm,PY,450,204,17.2,4.4,3.4,35.8,39.2
L2,1–2 cm,TD,440,170,25.3,9.4,4.7,37.1,23.5
L2,1–2 cm,PY,459,198,21.7,6.1,4.0,29.8,38.4
L3,2–4 cm,TD,443,166,24.1,7.8,2.4,32.5,33.1
L3,2–4 cm,PY,463,203,19.2,4.9,3.0,34.5,38.4
L4,4–10 cm,TD,433,174,20.7,7.5,5.7,37.4,28.7
L4,4–10 cm,PY,465,203,18.2,3.0,3.0,29.6,46.3
L5,10–20 cm,TD,466,200,21.5,7.5,6.0,34.5,30.5
L5,10–20 cm,PY,454,200,16.0,3.5,4.0,34.5,42.0
